ID,YEAR,MONTH,DOB,Gender,Marital_Status,Nbr_Children,Occupation,Home,Mo_Expenses,Mo_Income,Checking_Account,Savings_Account,Credit_limit,Account_Status,Mo_Balance
1,2007,12,19/07/1926,Female,Married,2,Administrative,Own,562,1606,No,Yes,high,Balanced,1044
6,2007,12,03/12/1925,Female,Married,1,Administrative,Own,515,1908,No,Yes,high,60 days late,1393
7,2007,12,03/06/1926,Male,Married,1,Administrative,Own,579,1655,No,No,low,60 days late,1076
10,2007,12,03/03/1922,Male,Single,1,Manager,Rent,627,3293,No,Yes,high,30 days late,2666
11,2007,12,19/11/1916,Female,Married,1,Administrative,Own,529,1265,No,Yes,high,30 days late,736
12,2007,12,22/01/1932,Male,Married,1,Administrative,Own,596,1988,No,Yes,high,30 days late,1392
13,2007,12,21/09/1924,Male,Married,2,Administrative,Own,456,1520,No,Yes,very low,Balanced,1064
14,2007,12,28/03/1951,Male,Single,1,Manager,Rent,479,3095,No,Yes,high,30 days late,2616
15,2007,12,08/05/1921,Male,Single,2,Administrative,Rent,539,3296,No,Yes,high,30 days late,2757
16,2007,12,21/02/1948,Male,Married,1,Administrative,Own,548,1567,No,Yes,high,Balanced,1019
17,2007,12,10/12/1915,Male,Married,2,Skilled,Own,487,1805,No,Yes,high,Balanced,1318
18,2007,12,22/05/1930,Male,Married,2,Administrative,Own,433,1731,No,Yes,high,Balanced,1298
19,2007,12,12/12/1927,Male,Married,1,Administrative,Own,469,1738,No,No,low,30 days late,1269
20,2007,12,01/11/1944,Female,Married,1,Skilled,Rent,596,1704,No,Yes,high,60 days late,1108
24,2007,12,26/01/1925,Female,Married,2,Skilled,Own,559,1863,No,Yes,high,Balanced,1304
25,2007,12,15/11/1919,Female,Married,2,Unskilled,Own,423,1692,No,Yes,high,Balanced,1269
26,2007,12,16/03/1913,Female,Married,2,Administrative,Rent,516,1721,No,Yes,high,60 days late,1205
27,2007,12,27/05/1925,Male,Single,1,Administrative,Rent,521,3430,No,Yes,high,30 days late,2909
28,2007,12,23/05/1927,Female,Married,2,Administrative,Own,536,1532,No,Yes,high,Balanced,996
31,2007,12,19/09/1919,Male,Widowed,1,Manager,Own,366,1046,No,Yes,high,60 days late,680
32,2007,12,03/03/1923,Female,Widowed,1,Manager,Own,483,1380,No,Yes,high,30 days late,897
34,2007,12,22/10/1919,Female,Married,2,Administrative,Rent,574,1435,No,Yes,high,Balanced,861
35,2007,12,19/04/1944,Male,Married,2,Administrative,Own,413,1180,No,Yes,high,Balanced,767
37,2007,12,19/02/1915,Male,Married,1,Administrative,Own,416,1387,Yes,No,mid-level,30 days late,971
38,2007,12,19/11/1924,Male,Married,1,Administrative,Own,330,1222,No,Yes,mid-level,60 days late,892
39,2007,12,04/01/1921,Male,Single,1,Administrative,Own,311,1245,No,No,mid-level,60 days late,934
40,2007,12,11/01/1916,Male,Single,1,Administrative,Rent,259,3534,No,Yes,mid-level,30 days late,3275
41,2007,12,05/02/1919,Male,Married,2,Skilled,Own,412,1179,No,Yes,high,Balanced,767
45,2007,12,15/02/1919,Female,Married,2,Unskilled,Own,403,1008,No,Yes,high,Balanced,605
51,2007,12,18/03/1917,Female,Single,1,Administrative,Rent,897,3323,No,Yes,very low,30 days late,2426
52,2007,12,27/02/1942,Male,Married,1,Administrative,Own,1200,3999,No,Yes,high,60 days late,2799
53,2007,12,24/02/1913,Male,Married,2,Manager,Own,717,1390,Yes,No,low,Balanced,673
54,2007,12,12/12/1918,Female,Married,2,Manager,Own,700,1334,No,Yes,high,Balanced,634
56,2007,12,06/10/1927,Male,Married,2,Manager,Own,648,1161,No,Yes,high,Balanced,513
57,2007,12,05/12/1915,Female,Widowed,1,Manager,Own,549,1831,Yes,Yes,low,30 days late,1282
58,2007,12,28/10/1942,Male,Married,1,Administrative,Own,470,1742,No,Yes,high,60 days late,1272
59,2007,12,31/10/1914,Male,Married,1,Manager,Own,693,1981,No,Yes,high,60 days late,1288
61,2007,12,01/05/1932,Male,Married,2,Manager,Own,750,1352,No,Yes,high,Balanced,602
64,2007,12,23/12/1935,Male,Married,1,Manager,Own,469,1564,No,Yes,high,30 days late,1095
66,2007,12,08/09/1928,Female,Married,2,Administrative,Own,539,1796,No,Yes,very low,Balanced,1257
67,2007,12,18/02/1927,Female,Married,2,Administrative,Own,415,1538,No,Yes,high,Balanced,1123
71,2007,12,18/12/1917,Male,Married,2,Administrative,Own,364,1213,No,Yes,low,Balanced,849
76,2007,12,16/02/1916,Male,Single,3,Skilled,Rent,414,3684,No,Yes,high,30 days late,3270
78,2007,12,04/01/1917,Male,Single,1,Unskilled,Rent,313,1251,No,Yes,high,60 days late,938
81,2007,12,12/03/1927,Male,Married,1,Administrative,Own,351,1299,No,No,mid-level,30 days late,948
82,2007,12,19/04/1927,Male,Married,3,Manager,Own,284,1052,No,Yes,high,60 days late,768
83,2007,12,21/10/1922,Male,Married,2,Skilled,Own,380,1409,Yes,Yes,mid-level,Balanced,1029
84,2007,12,19/05/1926,Male,Widowed,1,Administrative,Rent,414,1036,No,Yes,low,60 days late,622
87,2007,12,03/10/1927,Male,Married,1,Administrative,Own,285,1138,No,Yes,high,30 days late,853
89,2007,12,06/03/1916,Male,Married,2,Skilled,Own,362,1207,No,No,mid-level,Balanced,845
90,2007,12,16/04/1919,Male,Married,2,Administrative,Own,843,2809,No,Yes,high,60 days late,1966
91,2007,12,25/01/1928,Male,Married,1,Administrative,Own,957,2734,No,Yes,high,60 days late,1777
92,2007,12,04/12/1924,Male,Married,2,Administrative,Own,497,1657,No,Yes,high,Balanced,1160
93,2007,12,25/10/1922,Female,Married,1,Skilled,Own,449,1798,No,No,very low,60 days late,1349
94,2007,12,07/04/1923,Male,Married,2,Skilled,Own,526,1504,No,Yes,high,Balanced,978
96,2007,12,11/07/1922,Male,Married,2,Skilled,Own,443,1641,No,Yes,high,Balanced,1198
98,2007,12,24/05/1923,Male,Single,2,Administrative,Rent,508,3383,No,Yes,high,30 days late,2875
101,2007,12,17/01/1921,Male,Married,1,Skilled,Rent,530,1325,No,Yes,high,60 days late,795
102,2007,12,12/04/1917,Male,Widowed,1,Administrative,Own,495,1238,No,Yes,high,30 days late,743
103,2007,12,17/07/1929,Male,Married,3,Administrative,Own,312,1042,No,Yes,high,30 days late,730
107,2007,12,03/11/1918,Female,Widowed,1,Administrative,Own,322,1073,No,Yes,high,30 days late,751
110,2007,12,19/06/1924,Male,Single,1,Skilled,Own,410,1367,No,Yes,high,60 days late,957
112,2007,12,28/03/1915,Male,Married,2,Skilled,Own,359,1198,No,Yes,high,60 days late,839
113,2007,12,28/10/1916,Male,Single,2,Administrative,Rent,335,3115,No,Yes,high,30 days late,2780
114,2007,12,27/06/1926,Female,Married,2,Administrative,Own,349,1397,No,Yes,high,60 days late,1048
116,2007,12,19/09/1923,Male,Married,1,Administrative,Rent,415,1185,No,Yes,high,60 days late,770
117,2007,12,18/11/1917,Female,Married,1,Administrative,Own,332,1326,No,Yes,high,60 days late,994
119,2007,12,22/07/1927,Male,Single,2,Skilled,Rent,552,3380,No,Yes,high,30 days late,2828
121,2007,12,06/12/1950,Male,Married,2,Administrative,Rent,439,1254,No,Yes,high,Balanced,815
122,2007,12,10/06/1949,Female,Single,1,Skilled,Rent,409,3168,No,Yes,high,30 days late,2759
126,2007,12,01/06/1929,Female,Married,2,Skilled,Own,463,1322,No,Yes,high,Balanced,859
129,2007,12,25/03/1930,Male,Married,1,Skilled,Rent,325,1300,No,Yes,high,60 days late,975
132,2007,12,21/05/1916,Male,Married,2,Unskilled,Rent,432,1081,No,Yes,high,Balanced,649
133,2007,12,18/02/1931,Male,Single,1,Administrative,Own,296,1185,No,Yes,high,60 days late,889
